日期,證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
20260813,2886,兆豐金,45.85,3.82,114,18.64,1.69,2026Q1
20260813,2887,台新新光金,36.2,3.04,114,17.75,1.59,2026Q1
20260813,2889,國票金,15.55,3.79,114,20.19,1.21,2026Q1
20260813,2890,永豐金,39.95,3.25,114,19.11,2.18,2026Q1
20260813,2891,中信金,66.5,3.76,114,16.02,2.38,2026Q1
20260813,2892,第一金,33.15,3.92,114,17.0,1.6,2026Q1
20260813,2897,王道銀行,10.15,5.12,114,14.93,0.69,2026Q1
20260813,2901,欣欣,23.5,1.57,114,53.41,1.97,2026Q2
20260813,2903,遠百,21.75,5.75,114,13.43,0.98,2026Q1
20260813,2904,匯僑,12.85,5.45,114,22.16,0.81,2026Q1
20260813,2905,三商,16.2,1.85,114,25.71,0.58,2026Q1
20260813,2906,高林,13.5,4.44,114,16.27,0.83,2026Q2
20260813,2908,特力,21.9,2.51,114,17.8,1.54,2026Q2
20260813,2910,統領,23.6,4.41,114,12.9,1.5,2026Q2
20260813,2912,統一超,217.0,4.15,114,19.55,5.51,2026Q2
20260813,2915,潤泰全,54.1,3.51,114,3.89,0.35,2026Q2
20260813,2945,三商家購,40.15,3.74,114,21.82,1.41,2026Q2
20260813,3002,歐格,17.0,1.94,114,170.0,1.35,2026Q2
20260813,3003,健和興,69.3,1.44,114,68.61,1.68,2026Q1
20260813,3004,豐達科,128.0,1.99,114,19.91,2.18,2026Q2
20260813,3005,神基,114.5,5.93,114,14.05,3.05,2026Q1
20260813,3006,晶豪科,277.5,0.36,114,8.75,4.16,2026Q2
20260813,3008,大立光,4660.0,1.72,114,24.78,3.18,2026Q2
20260813,3010,華立,131.0,4.05,114,13.97,1.43,2026Q1
20260813,3013,晟銘電,87.0,0.92,114,16.67,3.25,2026Q2
20260813,3014,聯陽,134.5,6.32,114,13.59,3.04,2026Q2
20260813,3015,全漢,55.8,3.94,114,21.97,0.7,2026Q2
20260813,3016,嘉晶,104.0,0.48,114,86.67,5.8,2026Q2
20260813,3017,奇鋐,3200.0,0.66,114,42.66,22.76,2026Q2
20260813,3019,亞光,139.0,3.31,114,23.44,2.61,2026Q2
20260813,3021,鴻名,20.85,2.88,114,27.43,1.24,2026Q2
20260813,3022,威強電,98.1,3.57,114,13.03,1.52,2026Q2
20260813,3023,信邦,312.0,3.21,114,23.34,4.61,2026Q2
20260813,3024,憶聲,13.45,1.64,114,336.25,1.24,2026Q2
20260813,3025,星通,57.0,5.61,114,14.25,3.51,2026Q1
20260813,3026,禾伸堂,691.0,0.84,114,67.41,11.1,2026Q2
