,資料日期,股票代號,名稱,本益比,殖利率,股價淨值比
453,20240613,3528,安馳,28.66,3.04,1.87
454,20240613,3532,台勝科,22.74,2.88,2.82
455,20240613,3533,嘉澤,27.52,1.63,5.82
456,20240613,3543,州巧,29.11,4.35,0.73
457,20240613,3545,敦泰,46.91,1.1,2.06
458,20240613,3557,嘉威,11.26,4.14,2.36
459,20240613,3563,牧德,81.48,1.67,5.09
460,20240613,3583,辛耘,39.27,1.14,6.96
461,20240613,3588,通嘉,90.53,0.7,3.04
462,20240613,3591,艾笛森,64.09,1.77,1.37
463,20240613,3592,瑞鼎,17.7,3.56,3.06
464,20240613,3596,智易,14.01,4.32,2.55
465,20240613,3617,碩天,14.13,2.94,3.47
466,20240613,3622,洋華,15.75,2.87,1.54
467,20240613,3652,精聯,52.66,1.04,1.41
468,20240613,3653,健策,58.79,0.95,13.54
469,20240613,3661,世芯-KY,53.05,0.87,6.34
470,20240613,3665,貿聯-KY,21.89,2.96,2.06
471,20240613,3669,圓展,16.88,2.55,1.43
472,20240613,3673,TPK-KY,66.73,1.36,0.38
473,20240613,3679,新至陞,12.07,5.28,1.86
474,20240613,3694,海華,21.4,1.98,2.47
475,20240613,3701,大眾控,33.82,1.36,2.75
476,20240613,3702,大聯大,17.25,4.07,1.79
477,20240613,3703,欣陸,18.38,4.21,1.09
478,20240613,3704,合勤控,17.38,3.77,1.46
479,20240613,3705,永信,15.58,4.27,2.04
480,20240613,3706,神達,23.55,2.86,0.92
481,20240613,3708,上緯投控,11.01,4.2,1.84
482,20240613,3711,日月光投控,22.44,3.17,2.43
483,20240613,3712,永崴投控,16.14,4.02,1.46
484,20240613,3715,定穎投控,14.41,2.43,2.52
485,20240613,4104,佳醫,19.13,4.79,1.67
486,20240613,4106,雃博,19.79,2.89,1.2
487,20240613,4119,旭富,38.96,1.39,2.09
488,20240613,4133,亞諾法,32.37,2.25,1.52
489,20240613,4137,麗豐-KY,18.63,6.33,2.46
490,20240613,4148,全宇生技-KY,24.95,2.01,1.42
491,20240613,4155,訊映,183.21,1.17,1.56
492,20240613,4164,承業醫,25.76,3.81,1.43
493,20240613,4306,炎洲,14.38,4.83,1.08
494,20240613,4438,廣越,17.76,4.56,1.48
495,20240613,4439,冠星-KY,13.54,3.6,1.27
496,20240613,4440,宜新實業,25.0,3.92,1.36
497,20240613,4532,瑞智,15.73,3.55,1.44
498,20240613,4536,拓凱,12.37,4.22,2.13
499,20240613,4545,銘鈺,28.65,2.04,1.96
500,20240613,4551,智伸科,24.95,2.18,1.65
501,20240613,4552,力達-KY,8.9,3.9,0.54
502,20240613,4557,永新-KY,12.53,5.13,2.24
503,20240613,4560,強信-KY,28.84,2.69,1.42
504,20240613,4566,時碩工業,22.46,1.74,1.89
505,20240613,4569,六方科-KY,19.77,4.46,1.23
506,20240613,4571,鈞興-KY,23.6,2.09,2.86
507,20240613,4572,駐龍,21.64,3.38,2.92
508,20240613,4581,光隆精密-KY,10.74,5.76,1.89
509,20240613,4583,台灣精銳,20.23,3.79,2.25
510,20240613,4588,玖鼎電力,32.24,2.54,5.66
511,20240613,4720,德淵,16.71,2.61,1.58
512,20240613,4722,國精化,19.31,2.31,1.51
513,20240613,4736,泰博,15.38,6.06,1.69
514,20240613,4737,華廣,628.18,2.89,2.22
515,20240613,4739,康普,1116.67,1.19,1.43
516,20240613,4746,台耀,211.09,2.06,1.56
517,20240613,4755,三福化,30.7,2.5,3.23
518,20240613,4763,材料-KY,10.65,1.47,5.76
519,20240613,4766,南寶,17.81,4.19,3.53
520,20240613,4770,上品,19.08,3.08,4.43
521,20240613,4771,望隼,29.91,1.22,5.26
522,20240613,4904,遠傳,27.02,3.82,3.3
523,20240613,4906,正文,24.71,3.94,1.17
524,20240613,4912,聯德控股-KY,24.0,1.39,2.1
525,20240613,4915,致伸,20.35,3.62,2.81
526,20240613,4916,事欣科,52.86,1.35,1.39
527,20240613,4919,新唐,24.22,2.41,3.3
528,20240613,4930,燦星網,8.76,6.91,0.84
529,20240613,4935,茂林-KY,14.59,2.37,0.98
530,20240613,4938,和碩,19.45,3.43,1.64
531,20240613,4942,嘉彰,10.13,4.95,0.77
532,20240613,4949,有成精密,8.53,8.79,1.16
533,20240613,4952,凌通,38.07,1.89,3.43
534,20240613,4958,臻鼎-KY,16.88,2.76,1.15
535,20240613,4961,天鈺,15.8,3.86,1.89
536,20240613,4967,十銓,20.95,1.19,4.51
537,20240613,4977,眾達-KY,39.47,2.93,1.58
538,20240613,4994,傳奇,34.89,3.07,6.62
539,20240613,4999,鑫禾,32.18,2.82,0.78
